ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
164,Passion,101 MINS,2012,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to m,"DRAMA, MYSTERY","Starring Noomi Rapace, Rachel McAdams, Paul Anderson",Pelicula,https://www.starz.com/us/en/movies/passion-66537
165,State of Play,127 MINS,2009,A member of parliament and his former campaign manager-turned journalist find themselves on opposite sides after the parliamentarian's research assist,"CRIME, DRAMA","Starring Russell Crowe, Jason Bateman, Helen Mirren",Pelicula,https://www.starz.com/us/en/movies/state-of-play-50003
166,Paradise Highway,114 MINS,2022,"A truck driver is forced to smuggle illegal cargo to save her brother from a prison gang. The FBI is hot on her trail, and her conscience is tested wh","ACTION, CRIME","Starring Cameron Monaghan, Frank Grillo, Morgan Freeman",Pelicula,https://www.starz.com/us/en/movies/paradise-highway-67553
167,A Mermaid's Tale,92 MINS,2017,Twelve-year-old Ryan is despondent about moving to a dying seacoast village until she forms an unlikely friendship with a quirky teenage mermaid.,"FAMILY, FANTASY","Starring Caitlin Carmichael, Jerry O'Connell, Barry Bostwick",Pelicula,https://www.starz.com/us/en/movies/a-mermaids-tale-66416
168,Little Women,135 MINS,2019,Four sisters come of age in America during the aftermath of the Civil War.,"DRAMA, FAMILY","Starring Saoirse Ronan, Emma Watson, Florence Pugh",Pelicula,https://www.starz.com/us/en/movies/little-women-52172
169,All The Money In The World,132 MINS,2017,"The story of the kidnapping of John Paul Getty III in the 1970s, and the desperate attempt by his mother to convince his billionaire grandfather, Jean","BIOGRAPHY, CRIME","Starring Mark Wahlberg, Timothy Hutton, Christopher Plummer",Pelicula,https://www.starz.com/us/en/movies/all-the-money-in-the-world-39714
170,Trois 2: Pandora's Box,103 MINS,2002,A beautiful psychiatrist - whose love life is on hold - gets caught up in a world of steamy sex and ugly blackmail when she takes on a patient whose h,"DRAMA, SUSPENSE","Starring Monica Calhoun, Michael White, Kristoff St. John",Pelicula,https://www.starz.com/us/en/movies/trois-2-pandoras-box-68465
171,Bobcat Moretti,96 MINS,2023,"With the help of a compassionate trainer (Vivica A. Fox), obese MS patient Bobcat Moretti (Tim Realbuto) transforms himself at the gym where his fathe","DRAMA, SPORTS","Starring Vivica A. Fox, Tim Realbuto, Taryn Manning",Pelicula,https://www.starz.com/us/en/movies/bobcat-moretti-69965
172,What Remains,101 MINS,2022,"A small town pastor is forced to contend with an act of forgiveness against the newly released convict that murdered his wife. Simultaneously, the tow","DRAMA, MYSTERY","Starring Cress Williams, Kellan Lutz, Anne Heche",Pelicula,https://www.starz.com/us/en/movies/what-remains-68947
173,The Karate Kid Part II,113 MINS,1986,"Daniel travels with martial arts mentor Mr. Myagi to Okinawa, where both must settle scores with rivals in this high-kicking sequel.","ACTION, DRAMA","Starring Noriyuki ""Pat"" Morita, Ralph Macchio, Pat Morita",Pelicula,https://www.starz.com/us/en/movies/the-karate-kid-part-ii-6409
174,Planet of the Apes,112 MINS,1968,"The original classic! Astronauts crash land on a future planet where apes are masters and humans are slaves. Oscar winner for Makeup Effects. ""Get yo","SCI-FI, DRAMA","Starring Charlton Heston, Roddy McDowall, Kim Hunter",Pelicula,https://www.starz.com/us/en/movies/planet-of-the-apes-46406
175,The Night Before,101 MINS,2015,"As their annual reunion tradition comes to an end, three lifelong friends plan a night of debauchery and hilarity by searching for the Nutcracka Ball,",COMEDY,"Starring Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie",Pelicula,https://www.starz.com/us/en/movies/the-night-before-24558
176,Dr. Dolittle,85 MINS,1998,A doctor's life is turned upside down when he discovers he has the ability to talk to animals.,"COMEDY, FAMILY","Starring Eddie Murphy, Ossie Davis, Oliver Platt",Pelicula,https://www.starz.com/us/en/movies/dr-dolittle-24149
