Titulo,Temporadas,Capitulos,Nombre del capitulo,Duracion y Fecha,Sinopsis del capitulo,Link
Power Confidential,1,16,Ep 116 - Exactly How We Planned,TV-MA | 25 MINS | 2020,"Courtney A. Kemp, Naturi Naughton, Michael Rainey Jr., and Anthony Hemingway discuss the Season Six Finale and final episode of Power, ""Exactly How We Planned It."" Hosted by Terrence J.",https://www.starz.com/us/en/series/power-confidential/57416
Centennial,1,12,Ep 12 - The Scream of Eagles,TV-PG | 148 MINS | 1979,"Part 12. History professor Lewis Vernor visits modern day Centennial, where he learns of the area's history - and uncovers a century-old secret.",https://www.starz.com/us/en/series/centennial/20923
Warriors Of Liberty City,1,6,Ep 106 - Who We Do This For,TV-MA | 58 MINS | 2018,"For all of the players, teams and coaches, the end of the season means its back to regular life in Liberty City and time to reflect on what the future holds on the field and off.",https://www.starz.com/us/en/series/warriors-of-liberty-city/39040
Warriors Of Liberty City,1,6,Ep 106 - Who We Do This For,TV-MA | 58 MINS | 2018,"For all of the players, teams and coaches, the end of the season means its back to regular life in Liberty City and time to reflect on what the future holds on the field and off.",https://www.starz.com/us/en/series/larry-mcmurtrys-dead-mans-walk/37363
Gravity,1,10,Ep 110 - Are We All Just Dead?,TV-MA | 27 MINS | 2010,"Ep 110 'Are We All Just Dead?' In the season finale, an unexpected event occurs, regrettable words are spoken and Lily, Robert and Miller find themselves on a collision course with a destiny...",https://www.starz.com/us/en/series/gravity/45744
America To Me,1,10,America Will Be...,TV-MA | 89 MINS | 2018,"It's now or never for Tiara in chemistry. Terrence looks to the future. Caroline wrestles with perfection, while OPRF grapples with imperfect leadership. Kendale, Jada and Gabe celebrate graduation.",https://www.starz.com/us/en/series/america-to-me/38818
Tales of Wells Fargo,6,10,America Will Be...,TV-MA | 89 MINS | 2018,"It's now or never for Tiara in chemistry. Terrence looks to the future. Caroline wrestles with perfection, while OPRF grapples with imperfect leadership. Kendale, Jada and Gabe celebrate graduation.",https://www.starz.com/us/en/series/tales-of-wells-fargo/29903
Wagon Train,8,26,Ep 826 - The Jarbo Pierce Story,TV-PG | 51 MINS | 1965,"Charlie talks about his younger days in Pierce's Bend, when he worked for a rugged, God-fearing trading post operator (Rory Calhoun).",https://www.starz.com/us/en/series/wagon-train/14249
The Rifleman,5,26,Ep 168 - Old Tony,TV-PG | 25 MINS | 1963,"""Old Tony"" - Mark and his girlfriend Laurie are taken prisoner when they trespass on an old hermit's land. The final episode!",https://www.starz.com/us/en/series/the-rifleman/46124
Laramie,4,32,Ep 124 - The Road To Helena,TV-PG | 49 MINS | 1963,"Ruth Franklin, a saloon girl, foils a plan by three men to rob Slim. Afterward she persuades Slim to help her father, who plans to return the $50K he embezzled from a bank in Helena.",https://www.starz.com/us/en/series/laramie/23868
The Virginian,1,225,Ep 824 - The Gift,TV-PG | 76 MINS | 1970,"Tab Hunter guest stars as a gunman who robs a railroad station but his partner makes off with the loot in a hasty getaway, in ""The Gift.""",https://www.starz.com/us/en/series/the-virginian/33035
The Men From Shiloh,1,24,Ep 124 - Jump-Up,TV-PG | 70 MINS | 1971,"A trip to buy land for grazing puts the Virginian in the middle of a murder mystery involving a senate hopeful (William Windom), his ambitious wife (Diana Muldaur) and hard-drinking brother ...",https://www.starz.com/us/en/series/the-men-from-shiloh/35496
Pit Pony,2,24,Ep 124 - Jump-Up,TV-PG | 70 MINS | 1971,"A trip to buy land for grazing puts the Virginian in the middle of a murder mystery involving a senate hopeful (William Windom), his ambitious wife (Diana Muldaur) and hard-drinking brother ...",https://www.starz.com/us/en/series/pit-pony/23633
The Gambler: The Adventure Continues,1,2,Ep 2 - The Gambler II: The Adventure Continues Part 2,TV-14 | 95 MINS | 1983,Part 2 of 2 - Gambler Brady Hawkes' son is kidnapped - his pal Billy Montana and sexy bounty hunter Kate Muldoon team up to rescue him!,https://www.starz.com/us/en/series/the-gambler-the-adventure-continues/46046
The Gambler V: Playing For Keeps,1,2,Ep 2 - The Gambler V: Playing For Keeps Part 2,TV-14 | 91 MINS | 1994,"Part 2 of 2 - Brady Hawkes's son, Jeremiah, gets involved with Butch Cassidy and the Sundance Kid - and Brady must once again come to his rescue before he gets into trouble with the law.",https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
"The Gambler, Part Iii: The Legend Continues",1,2,"Ep 2 - The Gambler, Part III: The Legend Continues Part 2",TV-14 | 93 MINS | 1987,Part 2 - Brady Hawkes and Billy Montana are back for another adventure - joining forces with the Lakota Sioux to help them fight corrupt US Army officers.,https://www.starz.com/us/en/series/the-gambler-part-iii-the-legend-continues/45628
Power Universe,1,,"Ep 2 - The Gambler, Part III: The Legend Continues Part 2",TV-14 | 93 MINS | 1987,Part 2 - Brady Hawkes and Billy Montana are back for another adventure - joining forces with the Lakota Sioux to help them fight corrupt US Army officers.,https://www.starz.com/us/en/series/power-universe/62589
Mary & George,1,,"Ep 2 - The Gambler, Part III: The Legend Continues Part 2",TV-14 | 93 MINS | 1987,Part 2 - Brady Hawkes and Billy Montana are back for another adventure - joining forces with the Lakota Sioux to help them fight corrupt US Army officers.,https://www.starz.com/us/en/series/mary-george/71640
The Gambler V: Playing For Keeps,1,2,Ep 2 - The Gambler V: Playing For Keeps Part 2,TV-14 | 91 MINS | 1994,"Part 2 of 2 - Brady Hawkes's son, Jeremiah, gets involved with Butch Cassidy and the Sundance Kid - and Brady must once again come to his rescue before he gets into trouble with the law.",https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
The Gambler V: Playing For Keeps,1,2,Ep 2 - The Gambler V: Playing For Keeps Part 2,TV-14 | 91 MINS | 1994,"Part 2 of 2 - Brady Hawkes's son, Jeremiah, gets involved with Butch Cassidy and the Sundance Kid - and Brady must once again come to his rescue before he gets into trouble with the law.",https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
The Gambler V: Playing For Keeps,1,2,Ep 2 - The Gambler V: Playing For Keeps Part 2,TV-14 | 91 MINS | 1994,"Part 2 of 2 - Brady Hawkes's son, Jeremiah, gets involved with Butch Cassidy and the Sundance Kid - and Brady must once again come to his rescue before he gets into trouble with the law.",https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
The Gambler V: Playing For Keeps,1,2,Ep 2 - The Gambler V: Playing For Keeps Part 2,TV-14 | 91 MINS | 1994,"Part 2 of 2 - Brady Hawkes's son, Jeremiah, gets involved with Butch Cassidy and the Sundance Kid - and Brady must once again come to his rescue before he gets into trouble with the law.",https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
